date,bid1,bid2,bid3,bid4,bid5,offer1,offer2,offer3,offer4,offer5
2022-07-26 10:11:00.066722,16.9 | 480.4,16.8 | 756.4,16.7 | 1046.4,16.6 | 501.1,16.5 | 475.5,17.0 | 137.9,17.1 | 367.8,17.2 | 557.6,17.3 | 352.6,17.4 | 419.8
2022-07-26 10:12:00.072209,17.0 | 200.4,16.9 | 540.5,16.8 | 751.3,16.7 | 1038.9,16.6 | 471.1,17.1 | 384.0,17.2 | 557.8,17.3 | 352.6,17.4 | 420.8,17.5 | 445.2
2022-07-26 10:13:00.063577,17.0 | 198.8,16.9 | 544.1,16.8 | 769.5,16.7 | 1040.9,16.6 | 461.1,17.1 | 390.5,17.2 | 557.9,17.3 | 352.5,17.4 | 420.8,17.5 | 445.2
2022-07-26 10:14:00.066677,17.0 | 197.5,16.9 | 543.3,16.8 | 800.7,16.7 | 1048.4,16.6 | 561.1,17.1 | 384.6,17.2 | 554.9,17.3 | 355.5,17.4 | 420.8,17.5 | 445.7
2022-07-26 10:15:00.060074,17.0 | 192.2,16.9 | 553.7,16.8 | 793.2,16.7 | 1048.4,16.6 | 561.3,17.1 | 383.6,17.2 | 576.9,17.3 | 355.5,17.4 | 420.8,17.5 | 445.7
2022-07-26 10:16:00.065853,17.0 | 197.7,16.9 | 563.9,16.8 | 769.0,16.7 | 1048.4,16.6 | 561.3,17.1 | 389.8,17.2 | 576.9,17.3 | 346.5,17.4 | 420.8,17.5 | 456.5
2022-07-26 10:17:00.067460,17.0 | 261.5,16.9 | 539.9,16.8 | 769.0,16.7 | 1049.4,16.6 | 561.4,17.1 | 402.7,17.2 | 582.2,17.3 | 346.6,17.4 | 420.8,17.5 | 456.5
2022-07-26 10:18:00.065000,17.0 | 340.4,16.9 | 539.9,16.8 | 765.0,16.7 | 1099.4,16.6 | 561.4,17.1 | 453.2,17.2 | 592.2,17.3 | 346.6,17.4 | 426.8,17.5 | 606.5
2022-07-26 10:19:00.074193,17.0 | 361.1,16.9 | 539.9,16.8 | 763.5,16.7 | 1102.6,16.6 | 561.4,17.1 | 404.5,17.2 | 592.2,17.3 | 346.6,17.4 | 426.8,17.5 | 606.5
2022-07-26 10:20:00.059411,17.0 | 363.6,16.9 | 540.5,16.8 | 764.0,16.7 | 1102.6,16.6 | 561.4,17.1 | 403.4,17.2 | 592.2,17.3 | 346.6,17.4 | 426.8,17.5 | 606.5
2022-07-26 10:21:00.072776,17.0 | 358.4,16.9 | 541.8,16.8 | 766.0,16.7 | 1102.6,16.6 | 561.4,17.1 | 408.0,17.2 | 592.1,17.3 | 366.6,17.4 | 426.8,17.5 | 606.5
2022-07-26 10:22:00.060551,17.0 | 358.4,16.9 | 541.8,16.8 | 766.0,16.7 | 1102.9,16.6 | 561.4,17.1 | 436.8,17.2 | 592.1,17.3 | 366.6,17.4 | 430.1,17.5 | 606.5
2022-07-26 10:23:00.066496,17.0 | 360.9,16.9 | 539.5,16.8 | 766.0,16.7 | 1108.9,16.6 | 561.4,17.1 | 537.6,17.2 | 591.1,17.3 | 365.8,17.4 | 435.1,17.5 | 606.5
2022-07-26 10:24:00.069026,17.0 | 535.7,16.9 | 529.5,16.8 | 768.0,16.7 | 1108.9,16.6 | 561.4,17.1 | 404.4,17.2 | 591.1,17.3 | 365.8,17.4 | 435.2,17.5 | 608.5
2022-07-26 10:25:00.085402,17.0 | 512.8,16.9 | 549.5,16.8 | 768.0,16.7 | 1108.8,16.6 | 565.4,17.1 | 404.9,17.2 | 594.5,17.3 | 366.8,17.4 | 435.2,17.5 | 608.5
